T,skew_market,skew_classical,skew_rough
0.010958904109589041,-1.0226670374667743,-2.206618213169382,-2.232776580625293
0.019178082191780823,-1.3585259490516879,-2.035407125986745,-2.051282700541051
0.021917808219178082,-1.3324271392306768,-1.979479326624376,-1.993562660202957
0.030136986301369864,-1.185484823052735,-1.831989085404851,-1.8427134919592747
0.03287671232876712,-1.130434043699372,-1.7885975464909476,-1.798518490028364
0.03561643835616438,-1.1170948941548948,-1.748480310913357,-1.7577245398256072
0.038356164383561646,-1.0981564441750007,-1.7110380558642946,-1.7197031137185959
0.0410958904109589,-1.0192311706861497,-1.6730814327999624,-1.681184474796201
0.049315068493150684,-0.9956506846978805,-1.5715421714310138,-1.5782922892386169
0.052054794520547946,-0.9668964434450313,-1.5411292179678917,-1.547518815492504
0.0547945205479452,-0.9643001714490989,-1.5119397716786178,-1.5180023253186021
0.057534246575342465,-0.9337516578913126,-1.4839566202075687,-1.4897299501521015
0.06027397260273973,-0.8830907999383468,-1.4567130069833643,-1.4621930381293966
0.0684931506849315,-0.8635003935118822,-1.381452726224941,-1.3861451645901328
0.07123287671232877,-0.842097232798974,-1.358478651464401,-1.3629604707081917
0.07397260273972603,-0.8164541886497807,-1.3362244953824807,-1.3405234886366044
0.07671232876712329,-0.8109700335857969,-1.3145555361333252,-1.3186747647290469
0.07945205479452055,-0.7853277319901928,-1.2939325250388682,-1.2978707420312243
0.08767123287671233,-0.7249444870122859,-1.2373343388771245,-1.2407894864244713
0.09041095890410959,-0.7142009398224965,-1.2195123884648753,-1.222829000547391
0.09315068493150686,-0.6948726661197685,-1.2023769275768612,-1.205561765048041
0.0958904109589041,-0.6811630475732277,-1.1858278716303376,-1.1888878763888187
0.09863013698630137,-0.7208655489425383,-1.1698595409943862,-1.1728014874576593
0.10684931506849316,-0.6994573291337253,-1.1256930784306265,-1.1283260885004385
0.1095890410958904,-0.6944370940294663,-1.1117023958063375,-1.114241467316663
0.1178082191780822,-0.6753336796641394,-1.0721858430817737,-1.0744686171436875
0.136986301369863,-0.6020169630717402,-0.9935599123282276,-0.9953892916015574
0.15616438356164383,-0.5826948936276961,-0.9275535927425992,-0.9290399802629696
0.1643835616438356,-0.5376224092516038,-0.9032429351982112,-0.9046165273947193
0.2136986301369863,-0.5279436134874086,-0.7830387464198708,-0.7839037534067693
0.2465753424657534,-0.4672906427449034,-0.7225253625296663,-0.7231717338887167
0.29041095890410956,-0.4644144359283792,-0.6571497287940333,-0.6575926166079188
0.3287671232876712,-0.44979232960080756,-0.6108239262218192,-0.6111151149698762
0.3863013698630137,-0.41957554314673307,-0.5531852932411124,-0.5533193628789762
0.4136986301369863,-0.405090450650983,-0.5296837832879292,-0.5297773831587457
0.46301369863013697,-0.375238252374539,-0.4925686174185026,-0.49262205209468224
0.4986301369863014,-0.4088474308831622,-0.4691931647596903,-0.469231633976884
0.5397260273972603,-0.35727887809985903,-0.44511008934614293,-0.44513831601879356
0.6356164383561644,-0.3379123575062107,-0.3981958177509168,-0.3982152844435441
0.7123287671232876,-0.3259897740627659,-0.36768123908568484,-0.36770256579766875
0.7452054794520548,-0.3529084882423429,-0.35608237792998654,-0.3561058182484672
0.7890410958904109,-0.31570127895842703,-0.34177898561993797,-0.34180591090343104
0.8849315068493151,-0.2985608761197282,-0.31437522162061915,-0.314410886336626
0.958904109589041,-0.29162200352908185,-0.29620520814624546,-0.29624765043582135
0.9945205479452055,-0.28940739678347976,-0.28822141663775863,-0.2882669744792607
1.0383561643835617,-0.2781801885015486,-0.2789940627562909,-0.2790432719997904
1.210958904109589,-0.25634313887995197,-0.24795684151649455,-0.2480181679733781
1.4602739726027398,-0.22614948185688402,-0.2139431772914674,-0.21401605556191083
1.9589041095890412,-0.20043579835337652,-0.16832629137039784,-0.16840870965381532
2.4575342465753423,-0.18260994803469632,-0.1389860092940412,-0.13906933237692043
